X-axis,Y-axis
-41.644, 57.626
-41.646, 57.126
-41.647, 56.626
-41.649, 56.126
-41.650, 55.626
-41.651, 55.126
-41.653, 54.626
-41.654, 54.126
-41.656, 53.626
-41.657, 53.126
-41.658, 52.626
-41.661, 51.706
-41.662, 51.206
-41.664, 50.706
-41.665, 50.206
-41.667, 49.706
-41.668, 49.206
-41.669, 48.706
-41.671, 48.206
-41.672, 47.706
-41.674, 47.206
-41.675, 46.706
-41.676, 46.206
-41.678, 45.706
-41.679, 45.206
-41.681, 44.706
-41.682, 44.206
-41.683, 43.706
-41.685, 43.206
-41.687, 42.536
-41.688, 42.036
-41.690, 41.536
-41.691, 41.036
-41.692, 40.536
-41.694, 40.036
-41.695, 39.536
-41.697, 39.036
-41.698, 38.536
-41.699, 38.036
-41.701, 37.536
-41.702, 37.036
-41.704, 36.536
-41.705, 36.036
-41.706, 35.536
-41.708, 35.036
-41.709, 34.536
-41.711, 34.036
-41.712, 33.536
-41.714, 33.036
-41.715, 32.536
-41.716, 32.036
-41.718, 31.536
-41.719, 31.036
-41.721, 30.536
-41.722, 30.036
-41.723, 29.536
-41.725, 29.036
-41.726, 28.536
-41.728, 28.036
-41.729, 27.536
-41.730, 27.036
-41.732, 26.536
-41.733, 26.036
-41.735, 25.536
-41.736, 25.036
-41.737, 24.536
-41.739, 24.036
-41.740, 23.536
-41.742, 23.036
-41.743, 22.536
-41.744, 22.036
-41.746, 21.536
-41.747, 21.036
-41.749, 20.536
-41.750, 20.036
-41.751, 19.536
-41.753, 19.036
-41.754, 18.536
-41.756, 18.036
-41.757, 17.536
-41.759, 17.036
-41.760, 16.536
-41.761, 16.036
-41.763, 15.536
-41.764, 15.036
-41.766, 14.536
-41.767, 14.036
-41.768, 13.536
-41.770, 13.036
-41.771, 12.536
-41.773, 12.036
-41.774, 11.536
-41.775, 11.036
-41.777, 10.536
-41.778, 10.036
-41.780, 9.536
-41.781, 9.036
-41.782, 8.536
-41.784, 8.036
-41.785, 7.536
-41.787, 7.036
-41.788, 6.536
-41.789, 6.036
-41.791, 5.536
-41.792, 5.036
-41.794, 4.536
-41.795, 4.036
-41.797, 3.536
-41.798, 3.036
-41.799, 2.536
-41.801, 2.036
-41.802, 1.536
-41.804, 1.036
-41.805, 0.536
-41.806, 0.036
-41.808, -0.464
-41.809, -0.964
-41.811, -1.704
-41.813, -2.204
-41.814, -2.704
-41.815, -3.204
-41.817, -3.704
-41.818, -4.204
-41.820, -4.815
-41.821, -5.315
-41.823, -5.815
-41.824, -6.315
-41.826, -6.815
-41.827, -7.316
-41.829, -7.821
-41.831, -8.326
-41.834, -8.829
-41.837, -9.329
-41.839, -9.829
-41.842, -10.329
-41.845, -10.829
-41.848, -11.326
-41.850, -11.820
-41.852, -12.315
-41.853, -12.809
-41.853, -13.304
-41.853, -13.798
-41.853, -14.293
-41.852, -14.787
-41.851, -15.281
-41.849, -15.776
-41.846, -16.270
-41.840, -17.160
-41.836, -17.660
-41.833, -18.160
-41.829, -18.660
-41.825, -19.160
-41.821, -19.660
-41.818, -20.160
-41.814, -20.660
-41.810, -21.160
-41.806, -21.660
-41.802, -22.160
-41.799, -22.660
-41.795, -23.160
-41.791, -23.660
-41.787, -24.160
-41.784, -24.660
-41.780, -25.160
-41.776, -25.660
-41.772, -26.160
-41.768, -26.660
-41.765, -27.160
-41.761, -27.660
-41.757, -28.160
-41.753, -28.660
-41.750, -29.160
-41.746, -29.660
-41.742, -30.160
-41.738, -30.660
-41.735, -31.160
-41.731, -31.660
-41.727, -32.160
-41.723, -32.660
-41.719, -33.160
-41.716, -33.660
-41.712, -34.160
-41.708, -34.660
-41.704, -35.160
-41.701, -35.660
-41.697, -36.160
-41.693, -36.660
-41.689, -37.160
-41.685, -37.660
-41.682, -38.160
-41.678, -38.660
-41.674, -39.160
-41.670, -39.660
-41.667, -40.160
-41.663, -40.660
